               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.018237,           0.0054444,            0.004648,             0.99539,              0.9951,             0.99511,             0.85874,            0.013184,            0.004061,          0.00099268,           0.0085497,           0.0085497,           0.0085497
                  86,            0.018224,           0.0054468,           0.0046209,             0.99602,             0.99449,             0.99512,             0.85838,            0.013193,           0.0040612,          0.00098394,           0.0085173,           0.0085173,           0.0085173
                  87,            0.018252,           0.0054442,            0.004669,             0.99626,             0.99447,             0.99513,             0.85792,              0.0132,           0.0040581,           0.0009706,           0.0084846,           0.0084846,           0.0084846
                  88,            0.018226,           0.0054627,           0.0046226,             0.99618,             0.99424,             0.99514,             0.85819,            0.013196,           0.0040575,           0.0009546,           0.0084516,           0.0084516,           0.0084516
                  89,            0.018215,           0.0054197,           0.0046164,             0.99564,              0.9941,             0.99515,             0.85897,            0.013199,           0.0040582,          0.00095877,           0.0084184,           0.0084184,           0.0084184
                  90,            0.018093,           0.0054028,           0.0045505,             0.99573,             0.99422,             0.99512,             0.85833,            0.013201,           0.0040616,          0.00094429,           0.0083849,           0.0083849,           0.0083849
                  91,            0.018183,           0.0054497,           0.0046367,             0.99449,              0.9948,             0.99515,             0.85909,             0.01319,           0.0040651,          0.00093459,           0.0083511,           0.0083511,           0.0083511
                  92,            0.018165,           0.0054251,           0.0045764,             0.99569,             0.99348,             0.99511,             0.85908,             0.01318,           0.0040626,          0.00093084,           0.0083171,           0.0083171,           0.0083171
                  93,            0.018119,           0.0053894,           0.0046043,             0.99527,             0.99432,              0.9951,             0.86004,            0.013179,           0.0040586,          0.00094081,           0.0082829,           0.0082829,           0.0082829
                  94,            0.018122,           0.0054144,           0.0045548,             0.99446,             0.99488,             0.99509,             0.85951,            0.013166,           0.0040561,          0.00095184,           0.0082483,           0.0082483,           0.0082483
                  95,            0.018078,           0.0053919,           0.0045434,             0.99417,             0.99511,             0.99507,             0.85993,            0.013148,           0.0040544,          0.00096008,           0.0082136,           0.0082136,           0.0082136
                  96,            0.018122,           0.0054019,           0.0045861,             0.99433,             0.99531,             0.99505,             0.85928,            0.013165,           0.0040527,          0.00096709,           0.0081786,           0.0081786,           0.0081786
                  97,            0.018039,           0.0053828,           0.0045667,             0.99441,             0.99534,             0.99504,             0.85907,            0.013179,           0.0040537,          0.00094417,           0.0081433,           0.0081433,           0.0081433
                  98,            0.018099,           0.0054085,           0.0045889,              0.9947,             0.99504,             0.99508,             0.85994,            0.013151,           0.0040449,          0.00094091,           0.0081078,           0.0081078,           0.0081078
                  99,            0.018032,           0.0053862,           0.0044577,             0.99497,             0.99478,              0.9951,             0.85911,            0.013151,           0.0040414,          0.00093856,           0.0080721,           0.0080721,           0.0080721
                 100,            0.018043,           0.0054132,           0.0045119,             0.99547,             0.99443,             0.99511,             0.85866,            0.013172,           0.0040464,          0.00092245,           0.0080362,           0.0080362,           0.0080362
                 101,            0.018034,           0.0054022,           0.0045739,             0.99519,             0.99398,             0.99512,             0.85892,            0.013168,           0.0040475,          0.00091355,               0.008,               0.008,               0.008
                 102,            0.017976,           0.0053554,           0.0044402,              0.9953,             0.99367,             0.99516,             0.85865,            0.013172,           0.0040454,          0.00091996,           0.0079636,           0.0079636,           0.0079636
                 103,            0.018023,           0.0053832,           0.0045078,             0.99504,             0.99436,             0.99517,             0.85942,             0.01315,           0.0040441,          0.00090657,            0.007927,            0.007927,            0.007927
                 104,            0.017952,           0.0053648,           0.0044581,             0.99594,             0.99397,             0.99519,             0.85961,            0.013143,           0.0040475,           0.0008974,           0.0078902,           0.0078902,           0.0078902
                 105,            0.017955,           0.0053699,           0.0044743,             0.99506,             0.99479,              0.9952,             0.85964,            0.013139,           0.0040486,           0.0008985,           0.0078532,           0.0078532,           0.0078532
                 106,            0.017961,             0.00537,           0.0044789,              0.9954,             0.99416,             0.99519,             0.85997,            0.013128,           0.0040435,          0.00089254,            0.007816,            0.007816,            0.007816
