               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.022599,           0.0072249,           0.0069868,             0.98512,             0.98084,             0.99267,             0.80448,            0.016509,           0.0052483,            0.001813,           0.0068316,           0.0068316,           0.0068316
                 132,            0.022572,           0.0072238,           0.0069782,             0.98483,             0.98008,             0.99261,             0.80461,            0.016521,           0.0052489,           0.0018219,           0.0067906,           0.0067906,           0.0067906
                 133,            0.022507,           0.0072168,            0.006979,             0.98647,             0.97842,             0.99262,             0.80497,            0.016516,           0.0052452,           0.0018271,           0.0067495,           0.0067495,           0.0067495
                 134,              0.0226,           0.0072513,            0.007001,             0.98721,             0.97845,             0.99279,             0.80498,            0.016482,           0.0052385,           0.0018138,           0.0067083,           0.0067083,           0.0067083
                 135,            0.022537,           0.0071896,           0.0069882,             0.98823,             0.97668,             0.99268,             0.80513,            0.016472,           0.0052343,           0.0018059,           0.0066671,           0.0066671,           0.0066671
                 136,            0.022543,           0.0072183,           0.0070182,              0.9871,             0.97761,              0.9928,             0.80548,            0.016468,           0.0052342,           0.0017945,           0.0066257,           0.0066257,           0.0066257
                 137,            0.022426,           0.0072134,           0.0068416,             0.98797,             0.97658,             0.99274,             0.80553,            0.016459,           0.0052323,           0.0018014,           0.0065843,           0.0065843,           0.0065843
                 138,            0.022425,           0.0071834,           0.0068916,             0.98626,             0.97792,             0.99277,             0.80599,            0.016453,           0.0052263,           0.0017957,           0.0065429,           0.0065429,           0.0065429
                 139,            0.022372,           0.0071682,           0.0068569,             0.98903,             0.97541,             0.99279,             0.80616,            0.016442,           0.0052195,           0.0017854,           0.0065013,           0.0065013,           0.0065013
                 140,            0.022481,           0.0072038,           0.0069444,              0.9856,             0.97736,             0.99233,             0.80641,            0.016425,           0.0052177,           0.0017935,           0.0064597,           0.0064597,           0.0064597
                 141,            0.022383,           0.0071779,           0.0069269,             0.98495,             0.97781,             0.99227,             0.80716,            0.016415,           0.0052156,           0.0018076,           0.0064181,           0.0064181,           0.0064181
                 142,            0.022394,           0.0071822,             0.00681,             0.98768,             0.97547,             0.99233,             0.80709,            0.016402,           0.0052104,           0.0018224,           0.0063764,           0.0063764,           0.0063764
                 143,            0.022425,            0.007182,           0.0068751,             0.98604,             0.97698,             0.99235,             0.80748,            0.016383,           0.0052045,           0.0018186,           0.0063347,           0.0063347,           0.0063347
                 144,            0.022376,           0.0071473,           0.0068311,               0.989,             0.97407,             0.99262,             0.80712,             0.01637,           0.0052028,            0.001807,            0.006293,            0.006293,            0.006293
                 145,            0.022303,           0.0071498,           0.0067588,             0.98862,             0.97444,             0.99276,             0.80772,            0.016358,           0.0052028,           0.0017926,           0.0062512,           0.0062512,           0.0062512
                 146,            0.022275,           0.0071453,           0.0067449,             0.98812,             0.97488,             0.99279,             0.80875,             0.01634,           0.0052009,           0.0017685,           0.0062093,           0.0062093,           0.0062093
                 147,             0.02227,           0.0071313,           0.0067075,             0.98635,              0.9764,             0.99282,             0.80761,            0.016327,           0.0051966,           0.0017629,           0.0061675,           0.0061675,           0.0061675
                 148,            0.022243,           0.0071408,           0.0068005,             0.98434,             0.97869,             0.99316,             0.80886,            0.016316,           0.0051926,           0.0017615,           0.0061256,           0.0061256,           0.0061256
                 149,            0.022245,           0.0071342,           0.0066787,             0.98747,             0.97494,             0.99321,             0.80819,            0.016318,           0.0051907,           0.0017605,           0.0060838,           0.0060838,           0.0060838
                 150,            0.022226,           0.0071039,           0.0067403,              0.9865,             0.97591,             0.99313,             0.80774,            0.016324,           0.0051857,           0.0017626,           0.0060419,           0.0060419,           0.0060419
